"Item_Identifier","Item_Weight","Item_Visibility","Item_MRP","Outlet_Identifier","Item_Outlet_Sales","Outlet_Years","Item_Fat_Content_0","Item_Fat_Content_1","Outlet_Location_Type_0","Outlet_Location_Type_1","Outlet_Location_Type_2","Outlet_Size_0","Outlet_Size_1","Outlet_Size_2","Outlet_Size_3","Outlet_Type_0","Outlet_Type_1","Outlet_Type_2","Outlet_Type_3","Item_Type_Combined_0","Item_Type_Combined_1","Item_Type_Combined_2","Outlet_0","Outlet_1","Outlet_2","Outlet_3","Outlet_4","Outlet_5","Outlet_6","Outlet_7","Outlet_8","Outlet_9"
"FDA15","9.3","0.016047301","249.8092","OUT049","3735.138","10","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"DRC01","5.92","0.019278216","48.2692","OUT018","443.4228","0","0","1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"FDN15","17.5","0.016760075","141.618","OUT049","2097.27","10","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"FDX07","19.2","0.017834337888888892","182.095","OUT010","732.38","11","0","1","0","0","1","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"NCD19","8.93","0.009779828555555556","53.8614","OUT013","994.7052","22","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"FDP36","10.395","0.057058688875","51.4008","OUT018","556.6088","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"FDO10","13.65","0.012741089","57.6588","OUT013","343.5528","22","0","1","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"FDP10","19.0","0.127469857","107.7622","OUT027","4022.7636","24","1","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0"
"FDH17","16.2","0.016687114","96.9726","OUT045","1076.5986","7","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"FDU28","19.2","0.09444959","187.8214","OUT017","4710.535","2","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"FDY07","11.8","0.04062652444444445","45.5402","OUT049","1516.0266","10","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"FDA03","18.5","0.045463773","144.1102","OUT046","2187.153","12","0","1","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0"
"FDX32","15.1","0.1000135","145.4786","OUT049","1589.2646","10","0","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
